推广位ID,推广位名称,order_line_count,attributed_order_count,sku_count,item_quantity,attributed_payment_amount,zero_payment_line_count,active_days,invalid_order_count,non_invalid_order_count,mixed_status_order_count,classified_order_count,invalid_order_rate,zero_payment_line_rate,attributed_payment_amount_per_active_day,attributed_payment_amount_share,is_main_comparison_eligible,scale_threshold_amount,risk_threshold_rate,scale_risk_quadrant
18999828889318,CsleepI27,23,22,4,28,2857.62,1,9,1,20,1,21,0.047619047619047616,0.043478260869565216,317.5133333333333,0.0007016883023698845,False,,,
18999913539197,VstressI7,26,23,6,26,2716.64,1,14,2,20,1,22,0.09090909090909091,0.038461538461538464,194.04571428571427,0.0006670706776093822,False,,,
19000064389098,VproI544,24,16,4,24,2606.42,8,5,0,16,0,16,0.0,0.3333333333333333,521.284,0.0006400061677420071,False,,,
19000061689178,VproI511,25,15,2,25,2479.77,10,10,0,15,0,15,0.0,0.4,247.977,0.0006089072730341222,False,,,
18999855939057,TmultiI7,26,24,5,28,2476.65,0,9,3,21,0,24,0.125,0.0,275.18333333333334,0.0006081411573492537,False,,,
18999839689124,XsleepI8,23,21,7,25,2329.86,1,6,2,18,1,20,0.1,0.043478260869565216,388.31,0.0005720968876755828,False,,,
18999737889252,TsleepI3,18,18,5,19,2300.71,0,12,2,16,0,18,0.1111111111111111,0.0,191.72583333333333,0.0005649391081198399,False,,,
19000062939141,VproI542,21,14,3,21,2256.64,7,5,1,13,0,14,0.07142857142857142,0.3333333333333333,451.328,0.0005541177240710717,False,,,
18999851989140,CsleepI43,19,19,2,22,2155.7599999999998,0,13,2,17,0,19,0.10526315789473684,0.0,165.8276923076923,0.0005293466502603222,False,,,
18999869139308,TstressI2,19,19,4,19,2145.21,0,9,2,17,0,19,0.10526315789473684,0.0,238.35666666666668,0.000526756098825911,False,,,
19000061989090,TproI512,14,14,1,14,2131.74,0,5,2,12,0,14,0.14285714285714285,0.0,426.34799999999996,0.0005234485416864304,False,,,
19000138988939,VproI39,14,11,6,14,2045.78,1,5,3,8,0,11,0.2727272727272727,0.07142857142857142,409.156,0.0005023410723687062,False,,,
18999736339324,TsleepI20,21,20,3,24,2025.2,0,5,1,19,0,20,0.05,0.0,405.04,0.0004972876554473618,False,,,
18999870489234,TstressI1,14,13,5,16,1984.63,0,6,1,12,0,13,0.07692307692307693,0.0,330.7716666666667,0.0004873256960450808,False,,,
18999818388998,TsleepI50,20,20,3,20,1977.03,0,6,2,18,0,20,0.1,0.0,329.505,0.00048545951681270866,False,,,
19000136789192,VproI33,12,10,3,12,1868.97,0,7,0,10,0,10,0.0,0.0,266.9957142857143,0.0004589253947271656,False,,,
18999819238982,TsleepI43,14,14,2,14,1866.35,0,3,1,13,0,14,0.07142857142857142,0.0,622.1166666666667,0.0004582820539917952,False,,,
19000062039136,VproI538,13,12,6,13,1856.46,1,4,0,12,0,12,0.0,0.07692307692307693,464.115,0.00045585356549072157,False,,,
19000066489028,VproI537,11,11,1,11,1817.7,0,6,1,10,0,11,0.09090909090909091,0.0,302.95,0.0004463360514056239,False,,,
